FRED Graph Observations,,,,,,
Federal Reserve Economic Data,,,,,,
Link: https://fred.stlouisfed.org,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,
Economic Research Division,,,,,,
Federal Reserve Bank of St. Louis,,,,,,
,,,,,,
CATEPUINDXM,"Economic Policy Uncertainty Index: Categorical Index: Overall, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTRADE,"Economic Policy Uncertainty Index: Categorical Index: Trade policy, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUSOVDEBT,"Economic Policy Uncertainty Index: Categorical Index: Sovereign debt, currency crises, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTAXES,"Economic Policy Uncertainty Index: Categorical Index: Taxes, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUHEALTHCARE,"Economic Policy Uncertainty Index: Categorical Index: Health care, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUREG,"Economic Policy Uncertainty Index: Categorical Index: Regulation, Index, Monthly, Not Seasonally Adjusted",,,,,
,,,,,,
Frequency: Monthly,,,,,,
observation_date,CATEPUINDXM,EPUTRADE,EPUSOVDEBT,EPUTAXES,EPUHEALTHCARE,EPUREG
1992-07-01,134.573994969518000,116.917090658740000,21.2133791197726000,111.055769346085000,100.512131284261000,108.733381263383000
1992-08-01,151.883381957650000,287.691805545034000,169.0242289797590000,176.503634819221000,174.187446703287000,128.150148764738000
1992-09-01,155.716782362289000,285.842374875210000,1448.4622694905600000,149.648195252373000,151.185559839097000,141.672962957363000
1992-10-01,188.747607976159000,423.527117927394000,370.4595511843860000,204.873501287454000,205.092036768764000,154.907317442774000
1992-11-01,154.996194400633000,313.548558567819000,123.4636113658460000,159.678399397499000,226.195697024756000,128.325325719497000
1992-12-01,100.653600665957000,132.486774885514000,183.8932621952910000,79.657150271270000,112.302629523133000,101.240222422215000
1993-01-01,112.004990223568000,197.080194497819000,60.7888261746275000,134.669017706161000,195.857992305524000,103.861727633929000
1993-02-01,113.326072924809000,117.564583855522000,149.3160197567180000,176.614105650051000,187.987917640911000,171.292365791935000
1993-03-01,134.003930886055000,135.658426671239000,114.1185173475520000,124.288142299519000,182.039178925219000,138.110146300942000
1993-04-01,115.801866517798000,127.577883493389000,39.3510357708334000,124.190178855201000,182.722013414890000,117.659229975986000
1993-05-01,153.300492012255000,261.703363042352000,96.0972130311498000,224.783019549100000,367.900841976390000,310.316152444988000
1993-06-01,131.555288849224000,192.796859829862000,82.0243362253345000,169.023802016976000,264.277546125617000,141.895800216070000
1993-07-01,118.892225300925000,387.340822485685000,323.9977665915970000,157.137731328410000,199.569420920028000,124.553610074498000
1993-08-01,143.325391778017000,610.032041378643000,220.1903354928970000,186.548365537351000,231.421669709890000,131.673409935760000
1993-09-01,124.841129047087000,428.431979779867000,78.8947027917144000,107.650821083484000,211.205352722041000,124.687053527824000
1993-10-01,80.603974160100400,355.334599863916000,18.5766013523017000,58.626956045057300,137.309152968855000,74.587475591559300
